taxon,sub_taxon,feature,coefficient,r2,domain
Annelids,(all),intercept,0.3905517423751227,0.7246909110595828,terrestrial
Annelids,(all),temperature,-0.0016243017914836534,0.7246909110595828,terrestrial
Annelids,(all),rainfall,0.0001469807302951103,0.7246909110595828,terrestrial
Annelids,(all),farm_intensity,2.4588602434393185,0.7246909110595828,terrestrial
Annelids,(all),urban_intensity,-2.654123984145833,0.7246909110595828,terrestrial
Nematodes,Bacterivores,intercept,0.05209751393109195,0.19454980534506816,terrestrial
Nematodes,Bacterivores,temperature,-0.0006941534005126685,0.19454980534506816,terrestrial
Nematodes,Bacterivores,rainfall,3.620778203881589e-06,0.19454980534506816,terrestrial
Nematodes,Bacterivores,farm_intensity,-0.0027900036352009,0.19454980534506816,terrestrial
Nematodes,Bacterivores,urban_intensity,0.06046561994949359,0.19454980534506816,terrestrial
Nematodes,Fungivores,intercept,0.007250457568935225,0.13346575948579087,terrestrial
Nematodes,Fungivores,temperature,-9.217030640540808e-05,0.13346575948579087,terrestrial
Nematodes,Fungivores,rainfall,3.7623661298104984e-07,0.13346575948579087,terrestrial
Nematodes,Fungivores,farm_intensity,-0.00012603122174721713,0.13346575948579087,terrestrial
Nematodes,Fungivores,urban_intensity,0.010487806718143616,0.13346575948579087,terrestrial
Nematodes,Herbivores,intercept,0.06538358444244852,0.17861608455743494,terrestrial
Nematodes,Herbivores,temperature,-0.0007278361386394427,0.17861608455743494,terrestrial
Nematodes,Herbivores,rainfall,1.7883473421929557e-06,0.17861608455743494,terrestrial
Nematodes,Herbivores,farm_intensity,-0.005628241724747246,0.17861608455743494,terrestrial
Nematodes,Herbivores,urban_intensity,0.040560063758177126,0.17861608455743494,terrestrial
Nematodes,Omnivores,intercept,0.06400043693354762,0.10896233979586623,terrestrial
Nematodes,Omnivores,temperature,-0.0006375651859716457,0.10896233979586623,terrestrial
Nematodes,Omnivores,rainfall,1.0483992473032895e-05,0.10896233979586623,terrestrial
Nematodes,Omnivores,farm_intensity,0.006360166205530553,0.10896233979586623,terrestrial
Nematodes,Omnivores,urban_intensity,0.13059199118772963,0.10896233979586623,terrestrial
Nematodes,Predators,intercept,0.027977023645426764,0.043640537620149966,terrestrial
Nematodes,Predators,temperature,-4.750635460807322e-05,0.043640537620149966,terrestrial
Nematodes,Predators,rainfall,2.6458035052765055e-06,0.043640537620149966,terrestrial
Nematodes,Predators,farm_intensity,-0.00037765443721703737,0.043640537620149966,terrestrial
Nematodes,Predators,urban_intensity,0.03972784703089383,0.043640537620149966,terrestrial
Terrestrial arthropods,Acari (soil),intercept,0.07262847179549507,0.15498248087192912,terrestrial
Terrestrial arthropods,Acari (soil),temperature,-0.001447015530734016,0.15498248087192912,terrestrial
Terrestrial arthropods,Acari (soil),rainfall,2.465468957204951e-05,0.15498248087192912,terrestrial
Terrestrial arthropods,Acari (soil),farm_intensity,-0.027311905591211317,0.15498248087192912,terrestrial
Terrestrial arthropods,Acari (soil),urban_intensity,0.3907754690649768,0.15498248087192912,terrestrial
Terrestrial arthropods,Collembola (soil),intercept,0.08199715677507671,0.41761139222092936,terrestrial
Terrestrial arthropods,Collembola (soil),temperature,-0.002250309484696723,0.41761139222092936,terrestrial
Terrestrial arthropods,Collembola (soil),rainfall,6.241029259971018e-06,0.41761139222092936,terrestrial
Terrestrial arthropods,Collembola (soil),farm_intensity,-0.04043757076699522,0.41761139222092936,terrestrial
